run_id,source_label,source_mode,nominal_rate_hz,summary_file,completed_without_error,actual_duration_s,accepted_snapshots,effective_update_rate_hz,startup_time_ms,drive_response_time_ms,mean_inter_arrival_ms,p95_inter_arrival_ms,fresh_snapshot_percentage,fresh_frame_percentage,sequence_gap_count,non_monotonic_accepted_count,mean_actor_count,maximum_actor_count,mean_frame_time_ms,p95_frame_time_ms,mean_fps,minimum_fps,warning_count,error_count
nuscenes_001,nuScenes replay,"Frame-driven replay; snapshots are canonical presentation samples, not independent sensor arrivals",nan,experiment1_nuscenes_run_001_summary.csv,true,15.004139,4504,300.183827,251.301408,0.864506,3.331748,4.833794,100,100,0,0,13.065941,17,3.33292,4.830633,300.037219,57.82116,0,0
nuscenes_002,nuScenes replay,"Frame-driven replay; snapshots are canonical presentation samples, not independent sensor arrivals",nan,experiment1_nuscenes_run_002_summary.csv,true,15.005334,4491,299.293564,279.001594,0.712872,3.341503,5.055523,100,100,0,0,13.046983,17,3.342507,5.071862,299.17663,62.271837,0,0
nuscenes_003,nuScenes replay,"Frame-driven replay; snapshots are canonical presentation samples, not independent sensor arrivals",nan,experiment1_nuscenes_run_003_summary.csv,true,15.004802,4412,294.039192,249.019027,0.821352,3.401222,4.865408,100,100,0,0,13.080236,17,3.40233,4.835856,293.916224,54.622791,0,0
nuscenes_004,nuScenes replay,"Frame-driven replay; snapshots are canonical presentation samples, not independent sensor arrivals",nan,experiment1_nuscenes_run_004_summary.csv,true,15.004341,4482,298.713555,254.490614,0.851154,3.348146,4.907608,100,100,0,0,13.062472,17,3.34921,4.916128,298.577898,32.784829,0,0
nuscenes_005,nuScenes replay,"Frame-driven replay; snapshots are canonical presentation samples, not independent sensor arrivals",nan,experiment1_nuscenes_run_005_summary.csv,true,15.004769,3684,245.521947,255.729556,0.792742,4.073723,6.061316,100,100,0,0,13.340662,17,4.076376,6.036227,245.315928,55.506976,0,0
nuscenes_006,nuScenes replay,"Frame-driven replay; snapshots are canonical presentation samples, not independent sensor arrivals",nan,experiment1_nuscenes_run_006_summary.csv,true,15.000776,4157,277.119,251.923561,0.944853,3.609096,5.06115,100,100,0,0,13.285783,17,3.611647,5.06307,276.881996,55.480183,0,0
nuscenes_007,nuScenes replay,"Frame-driven replay; snapshots are canonical presentation samples, not independent sensor arrivals",nan,experiment1_nuscenes_run_007_summary.csv,true,15.00622,4368,291.079302,254.00281,0.908852,3.43583,4.954624,100,100,0,0,13.055632,17,3.436844,4.938352,290.964588,50.964395,0,0
nuscenes_008,nuScenes replay,"Frame-driven replay; snapshots are canonical presentation samples, not independent sensor arrivals",nan,experiment1_nuscenes_run_008_summary.csv,true,15.001073,4404,293.578992,266.824484,0.951767,3.406695,4.926491,100,100,0,0,13.073115,17,3.407796,4.913751,293.44476,50.901381,0,0
nuscenes_009,nuScenes replay,"Frame-driven replay; snapshots are canonical presentation samples, not independent sensor arrivals",nan,experiment1_nuscenes_run_009_summary.csv,true,15.004658,4484,298.840529,266.631484,2.902031,3.346262,4.858685,100,100,0,0,13.061552,17,3.347748,4.841342,298.708266,56.128918,0,0
nuscenes_010,nuScenes replay,"Frame-driven replay; snapshots are canonical presentation samples, not independent sensor arrivals",nan,experiment1_nuscenes_run_010_summary.csv,true,15.001294,4468,297.84098,250.207186,0.909328,3.357906,4.8388,100,100,0,0,13.060877,17,3.359074,4.819004,297.701086,53.103678,0,0
nuscenes_011,nuScenes replay,"Frame-driven replay; snapshots are canonical presentation samples, not independent sensor arrivals",nan,experiment1_nuscenes_run_011_summary.csv,true,15.001822,4142,276.099797,250.895262,1.24836,3.622352,5.208969,100,100,0,0,13.164896,17,3.62348,5.185877,275.977799,49.644114,0,0
nuscenes_012,nuScenes replay,"Frame-driven replay; snapshots are canonical presentation samples, not independent sensor arrivals",nan,experiment1_nuscenes_run_012_summary.csv,true,15.004905,4028,268.44556,253.927231,0.952959,3.725717,5.271339,100,100,0,0,13.338133,17,3.727005,5.256436,268.311965,53.044416,0,0
