cumulative_probability,state_age_ms_002hz,state_age_ms_010hz,state_age_ms_030hz,state_age_ms_050hz,state_age_ms_100hz
0.0,0.914097,0.998259,1.063824,1.001120,0.949144
0.01,7.782548,5.105762,3.888626,2.777100,2.164829
0.02,12.812095,6.714053,4.848003,3.973961,2.954559
0.03,17.773087,8.026044,5.443096,4.573350,3.702429
0.04,22.864895,9.063539,5.958080,5.004912,4.121103
0.05,27.925002,10.126436,6.412876,5.362749,4.430056
0.06,33.107843,11.265039,6.858554,5.684624,4.685163
0.07,38.064957,12.318299,7.302046,5.990982,4.903078
0.08,43.117580,13.242960,7.700319,6.297112,5.113840
0.09,48.307316,14.268179,8.092165,6.592989,5.303144
0.1,53.385019,15.340090,8.483672,6.873846,5.486965
0.11,58.480034,16.372154,8.868933,7.148981,5.656958
0.12,63.461046,17.329140,9.222260,7.403393,5.821943
0.13,68.378763,18.283434,9.570129,7.650137,5.975008
0.14,73.599629,19.376717,9.922981,7.893744,6.124020
0.15,78.646136,20.383167,10.302460,8.135080,6.272078
0.16,83.635626,21.300793,10.682106,8.366108,6.411943
0.17,88.598349,22.230988,11.035052,8.602142,6.546021
0.18,93.580370,23.267031,11.389971,8.821964,6.680965
0.19,98.790722,24.302873,11.755943,9.037799,6.814241
0.2,103.757906,25.290203,12.102413,9.248018,6.944895
0.21,108.791828,26.194515,12.436152,9.469123,7.076979
0.22,113.808870,27.271986,12.755142,9.689093,7.206917
0.23,118.727872,28.393590,13.087749,9.906054,7.335901
0.24,123.892527,29.339332,13.419027,10.113955,7.467031
0.25,128.879070,30.234336,13.771057,10.325909,7.588684
0.26,133.902703,31.219959,14.101028,10.529308,7.714987
0.27,138.868093,32.309084,14.419079,10.745287,7.838011
0.28,143.826466,33.379078,14.739037,10.955095,7.951975
0.29,149.000185,34.314690,15.063362,11.166096,8.073807
0.3,153.982282,35.337067,15.381098,11.363983,8.193970
0.31,158.977985,36.423140,15.712976,11.564970,8.310430
0.32,163.939982,37.426338,16.027927,11.762142,8.433104
0.33,168.844071,38.325071,16.337872,11.959968,8.548021
0.34,174.023862,39.254375,16.641855,12.158155,8.656025
0.35,178.935862,40.304899,16.966105,12.358904,8.773088
0.36,183.895550,41.361857,17.298737,12.558937,8.883715
0.37,188.872020,42.294181,17.631054,12.748957,8.989096
0.38,193.825450,43.221192,17.950773,12.944937,9.096861
0.39,198.994038,44.310601,18.273136,13.150930,9.210110
0.4,203.912020,45.401955,18.640995,13.348103,9.317064
0.41,208.861630,46.294928,19.025087,13.544083,9.421110
0.42,213.858495,47.194367,19.377074,13.743105,9.525061
0.43,218.719959,48.228283,19.744873,13.939142,9.629965
0.44,223.848218,49.335957,20.111713,14.136791,9.737968
0.45,228.762770,50.327099,20.455122,14.346862,9.850025
0.46,233.768806,51.245871,20.803928,14.557094,9.956121
0.47,238.699143,52.312095,21.128938,14.778056,10.063887
0.48,243.585682,53.450193,21.457911,14.986992,10.174036
0.49,248.690030,54.382086,21.792173,15.196085,10.282040
0.5,253.663540,55.286169,22.123098,15.397072,10.396004
0.51,258.677495,56.300442,22.446156,15.599966,10.504961
0.52,263.590565,57.340946,22.748947,15.796900,10.607958
0.53,268.475056,58.352947,23.056030,15.990019,10.710001
0.54,273.644104,59.281840,23.367582,16.180038,10.813951
0.55,278.619778,60.251939,23.696899,16.386008,10.918856
0.56,283.527851,61.362028,24.020939,16.583128,11.021852
0.57,288.451164,62.362652,24.337027,16.780467,11.117935
0.58,293.380556,63.256979,24.650569,16.975164,11.215925
0.59,298.452632,64.204931,24.976969,17.164946,11.316061
0.6,303.378534,65.235949,25.322962,17.352104,11.413097
0.61,308.402548,66.314189,25.663853,17.548800,11.514902
0.62,313.354416,67.292972,25.983095,17.744064,11.621714
0.63,318.227367,68.241186,26.315928,17.943892,11.728048
0.64,323.271265,69.296112,26.636391,18.142662,11.840105
0.65,328.245592,70.367706,26.988029,18.344879,11.958122
0.66,333.261967,71.301937,27.347088,18.559933,12.071848
0.67,338.155024,72.188139,27.715530,18.747869,12.192011
0.68,343.046818,73.242188,28.075933,18.942118,12.305975
0.69,348.092594,74.329951,28.435323,19.140005,12.417793
0.7,353.070688,75.348139,28.795004,19.340038,12.530088
0.71,358.135939,76.248305,29.134989,19.539390,12.639046
0.72,362.997093,77.263985,29.466019,19.746065,12.754917
0.73,367.888076,78.391769,29.795885,19.955144,12.869994
0.74,372.964310,79.335180,30.132055,20.155707,12.983084
0.75,377.924740,80.214739,30.457914,20.349145,13.103783
0.76,382.978458,81.164036,30.778170,20.548105,13.221979
0.77,387.846210,82.218437,31.083314,20.750999,13.350964
0.78,392.839852,83.244901,31.370878,20.957632,13.482094
0.79,397.888715,84.198220,31.696081,21.163940,13.609886
0.8,402.875709,85.170984,32.021570,21.381855,13.742924
0.81,408.010683,86.277962,32.340138,21.599054,13.876915
0.82,412.914719,87.296944,32.668214,21.811008,14.019012
0.83,417.865544,88.202622,32.973051,22.042990,14.156001
0.84,422.919455,89.132795,33.310890,22.269011,14.301472
0.85,427.912951,90.195716,33.636093,22.498846,14.455080
0.86,432.996812,91.204553,33.966832,22.734165,14.614820
0.87,437.935236,92.181377,34.298897,22.970167,14.768124
0.88,442.884998,93.155451,34.643116,23.219824,14.942169
0.89,447.889049,94.260743,35.004027,23.468418,15.127897
0.9,452.890682,95.403075,35.444307,23.743868,15.340805
0.91,458.002670,96.294873,35.853863,24.003983,15.568681
0.92,462.842941,97.180968,36.268950,24.300098,15.825987
0.93,467.758091,98.142092,36.703110,24.611950,16.115398
0.94,472.767115,99.189592,37.140131,24.963207,16.440153
0.95,477.747107,100.245953,37.579060,25.359869,16.778231
0.96,482.844992,101.202011,38.094997,25.851011,17.212753
0.97,487.725019,102.344036,38.748519,26.482578,17.709970
0.98,492.640576,103.684369,39.620032,27.267933,18.332005
0.99,497.633237,105.211125,40.967996,28.426404,19.262075
1.0,1476.413012,1084.326029,1049.860001,547.561169,555.704117
