run_id,configured_rate_hz,raw_snapshot_callback_rows,unique_source_sequences,freshness_callback_duplicates_removed,scheduled_messages,raw_transport_received_messages,unique_applied_sequences,transport_boundary_delta,applied_boundary_delta,raw_mean_latency_ms,cleaned_mean_latency_ms,raw_p99_latency_ms,cleaned_p99_latency_ms
002hz_run_001,2,600,600,0,600,601,600,1,0,2.689159,2.689159,11.504047,11.504047
002hz_run_002,2,601,600,1,600,601,600,1,0,6.92161,4.472588,13.459921,12.576916
002hz_run_003,2,604,600,4,600,601,600,1,0,15.190506,7.831108,629.117937,130.073662
010hz_run_001,10,3000,3000,0,3000,3000,3000,0,0,4.825924,4.825924,16.487417,16.487417
010hz_run_002,10,3000,3000,0,3000,3000,3000,0,0,3.439377,3.439377,12.508731,12.508731
010hz_run_003,10,3001,3000,1,3000,3001,3000,1,0,6.445239,6.085968,19.39702,19.391827
030hz_run_001,30,9001,9000,1,9000,9000,9000,0,0,6.497761,6.381836,16.077042,16.046594
030hz_run_002,30,9000,9000,0,9000,9000,9000,0,0,4.006324,4.006324,10.672097,10.672097
030hz_run_003,30,9000,9000,0,9000,9000,9000,0,0,4.349577,4.349577,12.489319,12.489318
050hz_run_001,50,15000,15000,0,15000,15000,15000,0,0,4.772462,4.772462,11.556256,11.556256
050hz_run_002,50,15000,15000,0,15000,15000,15000,0,0,3.949807,3.949807,10.716915,10.716915
050hz_run_003,50,15000,15000,0,15000,15000,15000,0,0,3.619709,3.619709,10.941424,10.941424
100hz_run_001,100,29996,29996,0,29996,29997,29996,1,0,4.195641,4.195641,10.880017,10.880017
100hz_run_002,100,30000,30000,0,30000,30000,30000,0,0,3.972751,3.972751,10.386019,10.386019
100hz_run_003,100,30000,30000,0,30000,30000,30000,0,0,3.539002,3.539002,10.273061,10.273061
