metric,metric_label,preferred_direction,controller,n,mean,sample_sd,median,ci95_lower,ci95_upper
route_progress_m,Route progress (m),higher,Rule Controller,30,2225.44073397517,487.15107396325436,2359.5656707154,2037.5240082294615,2376.7275271673857
route_progress_m,Route progress (m),higher,Hybrid ML Controller,30,2260.1890383647897,247.22665831669738,2306.1769330769766,2173.680999507019,2346.6073434021205
collision_count,Collision count,lower,Rule Controller,30,2.6333333333333333,1.731718965280638,2.0,2.033333333333333,3.2666666666666666
collision_count,Collision count,lower,Hybrid ML Controller,30,1.9,1.1846722229638327,2.0,1.4666666666666666,2.3
minimum_ttc_s,Minimum TTC (s),higher,Rule Controller,30,0.28084335803886645,0.3969970388287119,0.13191865845531364,0.15455443690235954,0.4273896260953628
minimum_ttc_s,Minimum TTC (s),higher,Hybrid ML Controller,30,0.3372903979716828,0.40597179238186526,0.202221826990015,0.21990958726862692,0.49845229945998965
minimum_clearance_m,Minimum clearance (m),higher,Rule Controller,30,0.35831175819499983,1.0816203425133228,1.107194625116942,-0.04363704589022962,0.7195057376086581
minimum_clearance_m,Minimum clearance (m),higher,Hybrid ML Controller,30,1.1100577243227534,0.35750730790924945,1.1878670151418167,0.9676414938697244,1.2157253165069857
emergency_stops,Emergency stops,lower,Rule Controller,30,6.366666666666666,1.9025089303036284,7.0,5.666666666666667,7.033333333333333
emergency_stops,Emergency stops,lower,Hybrid ML Controller,30,6.633333333333334,1.2726115785600325,7.0,6.166666666666667,7.066666666666666
deadlock_duration_s,Deadlock duration (s),lower,Rule Controller,30,7.330000000000029,7.70108142876146,6.449999999999985,4.700000000000019,10.100000000000051
deadlock_duration_s,Deadlock duration (s),lower,Hybrid ML Controller,30,3.24833333333333,3.729714866917544,1.45,2.0016249999999967,4.60833333333333
overtake_attempts,Overtake attempts,context,Rule Controller,30,9.433333333333334,2.750339581959281,9.5,8.433333333333334,10.366666666666667
overtake_attempts,Overtake attempts,context,Hybrid ML Controller,30,7.7,2.0197302653640627,8.0,7.0,8.433333333333334
successful_overtakes,Successful overtakes,higher,Rule Controller,30,7.2,2.510666898627149,7.0,6.333333333333333,8.066666666666666
successful_overtakes,Successful overtakes,higher,Hybrid ML Controller,30,5.066666666666666,1.7207322686083053,5.0,4.466666666666667,5.666666666666667
overtake_success_rate,Overtake success rate,higher,Rule Controller,30,0.7657494357494358,0.135626471419254,0.7638888888888888,0.7174857295482296,0.8130864274614273
overtake_success_rate,Overtake success rate,higher,Hybrid ML Controller,30,0.6699675324675326,0.17725314213150628,0.6666666666666666,0.6089686147186147,0.7311511243386245
mean_absolute_acceleration_mps2,Mean absolute acceleration (m/s²),lower,Rule Controller,30,1.1339572974439862,0.3987618371942502,1.0342055820908533,1.0172631928683997,1.2939529314748532
mean_absolute_acceleration_mps2,Mean absolute acceleration (m/s²),lower,Hybrid ML Controller,30,0.9607141367288728,0.13895198170666306,0.9683103244905624,0.9118018845758218,1.0092707647111625
maximum_absolute_jerk_mps3,Maximum absolute jerk (m/s³),lower,Rule Controller,30,100.0,0.0,100.0,100.0,100.0
maximum_absolute_jerk_mps3,Maximum absolute jerk (m/s³),lower,Hybrid ML Controller,30,100.0,7.916668416373164e-15,100.0,100.0,100.0
mean_absolute_yaw_rate_deg_s,Mean absolute yaw rate (deg/s),lower,Rule Controller,30,2.2685463858528836,0.6185810202629517,2.27651624516412,2.0394872205697916,2.4767871617403157
mean_absolute_yaw_rate_deg_s,Mean absolute yaw rate (deg/s),lower,Hybrid ML Controller,30,1.9574734196961388,0.3416473577153795,1.932667447162465,1.837138289500425,2.0781828031327727
scenario_completion_rate,Scenario success rate,higher,Rule Controller,30,0.8201699528072639,0.10818034026893583,0.845,0.7805337569893394,0.8572575781569666
scenario_completion_rate,Scenario success rate,higher,Hybrid ML Controller,30,0.8635250978172189,0.08974197496494493,0.9047619047619048,0.8312263804065801,0.8944313540435744
