metric,metric_label,preferred_direction,paired_n,rule_mean,hybrid_mean,hybrid_minus_rule_mean_difference,difference_ci95_lower,difference_ci95_upper,wilcoxon_two_sided_p,paired_effect_size_dz
route_progress_m,Route progress (m),higher,30,2225.44073397517,2260.1890383647897,34.74830438961956,-120.96406054734842,237.6931234465233,0.28936620615422726,0.067634250780046
collision_count,Collision count,lower,30,2.6333333333333333,1.9,-0.7333333333333333,-1.5666666666666667,0.0,0.13119969367537204,-0.32698090818966213
minimum_ttc_s,Minimum TTC (s),higher,30,0.28084335803886645,0.3372903979716828,0.056447039932816294,-0.15292333306207373,0.27605107838117476,0.22064675763249397,0.09365758081004023
minimum_clearance_m,Minimum clearance (m),higher,30,0.35831175819499983,1.1100577243227534,0.7517459661277534,0.3559456755545163,1.1737327182562485,0.0004071685035218594,0.6515974375556728
emergency_stops,Emergency stops,lower,30,6.366666666666666,6.633333333333334,0.26666666666666666,-0.36666666666666664,1.0,0.6984980218573216,0.13700447634007012
deadlock_duration_s,Deadlock duration (s),lower,30,7.330000000000029,3.24833333333333,-4.0816666666667,-6.735000000000042,-1.6232916666666808,0.004250124367677342,-0.5594923230944734
overtake_attempts,Overtake attempts,context,30,9.433333333333334,7.7,-1.7333333333333334,-2.7666666666666666,-0.5666666666666667,0.0021522248698847037,-0.557963127950063
successful_overtakes,Successful overtakes,higher,30,7.2,5.066666666666666,-2.1333333333333333,-3.033333333333333,-1.1,0.0005948072262799457,-0.7754850583597119
overtake_success_rate,Overtake success rate,higher,30,0.7657494357494358,0.6699675324675326,-0.09578190328190331,-0.1486633806008806,-0.045769748769748805,0.0021068605878659026,-0.6579221705898927
mean_absolute_acceleration_mps2,Mean absolute acceleration (m/s²),lower,30,1.1339572974439862,0.9607141367288728,-0.17324316071511345,-0.32012584466179383,-0.05621678579137643,0.0012321043759584427,-0.45233901218343303
maximum_absolute_jerk_mps3,Maximum absolute jerk (m/s³),lower,30,100.0,100.0,1.4210854715202005e-15,0.0,4.263256414560601e-15,1.0,0.0
mean_absolute_yaw_rate_deg_s,Mean absolute yaw rate (deg/s),lower,30,2.2685463858528836,1.9574734196961388,-0.31107296615674507,-0.5361174743537911,-0.0478580822408252,0.0018640067428350449,-0.44685890507113946
scenario_completion_rate,Scenario success rate,higher,30,0.8201699528072639,0.8635250978172189,0.04335514500995501,0.0011367220365675384,0.08943254532238076,0.07202778494644195,0.35118190419946377
