controller,seed,manifest_id,target_duration_s,actual_duration_s,simulation_steps,route_progress_m,collision_count,collision_intervention_frames,minimum_ttc_s,minimum_clearance_m,emergency_stops,deadlock_duration_s,overtake_attempts,successful_overtakes,overtake_success_rate,mean_absolute_acceleration_mps2,maximum_absolute_jerk_mps3,mean_absolute_yaw_rate_deg_s,scenarios_encountered,scenarios_evaluable,scenarios_completed,scenario_successes,scenario_completion_rate,run_completed,error
Rule Controller,2026000,6cba0c1e0adbc0a8,300.0,300.0,6000,2111.558781422272,2,131,0.001733433384145138,-1.8281275666514833,6,9.700000000000003,9,6,0.6666666666666666,1.1005179654729846,100.0,2.7540830391546858,20,18,18,17,0.9444444444444444,True,
Hybrid ML Controller,2026000,6cba0c1e0adbc0a8,300.0,300.0,6000,2112.2879546419485,1,65,0.19903005509996757,0.851885158882396,7,6.349999999999985,10,8,0.8,0.9766640814530808,100.0,2.017623214285939,19,18,18,17,0.9444444444444444,True,
Rule Controller,2026001,e24554f00b307285,300.0,300.0,6000,2510.0505749389245,6,285,0.03128114003034592,-1.7079506810131768,4,23.800000000000203,13,9,0.6923076923076923,0.9905720999553154,100.0,3.0249877850528413,24,21,21,17,0.8095238095238095,True,
Hybrid ML Controller,2026001,e24554f00b307285,300.0,300.0,6000,2514.9476164201087,2,2,0.5381698316541775,1.1999999999999549,5,0.0,12,9,0.75,0.9780202787228399,100.0,2.2567797121113675,24,23,21,19,0.8260869565217391,True,
Rule Controller,2026002,52cd3cec91e58c2b,300.0,300.0,6000,2028.1068669120914,2,65,0.14680179760833068,1.1360304793452969,7,7.79999999999998,9,7,0.7777777777777778,1.074746381067356,100.0,2.0428467798271517,17,15,13,12,0.8,True,
Hybrid ML Controller,2026002,52cd3cec91e58c2b,300.0,300.0,6000,2301.436117486401,0,0,0.5544420917538888,1.3179350245924377,6,0.0,7,4,0.5714285714285714,1.0071075382185377,100.0,1.9317865138143138,22,18,18,18,1.0,True,
Rule Controller,2026003,76f534ed31711937,300.0,300.0,6000,2249.5351795742445,0,0,1.2325193320809578,0.5339466283664329,4,3.5499999999999954,9,6,0.6666666666666666,0.9992369627222372,100.0,2.4565050591740323,21,20,17,17,0.85,True,
Hybrid ML Controller,2026003,76f534ed31711937,300.0,300.0,6000,2257.8637362737013,2,67,0.19484133194226871,1.2000000000001823,4,0.0,9,5,0.5555555555555556,0.959956567528044,100.0,2.1873616956022217,20,16,16,15,0.9375,True,
Rule Controller,2026004,ae3c4174f1b3f564,300.0,300.0,6000,2285.6644503396174,3,14,0.1343862115362911,1.1686370305653542,6,6.999999999999983,11,8,0.7272727272727273,1.0204076872825465,100.0,2.301463969688758,21,19,17,15,0.7894736842105263,True,
Hybrid ML Controller,2026004,ae3c4174f1b3f564,300.0,300.0,6000,2208.6043352428946,4,134,0.0986296264684321,1.1728129793261663,8,4.099999999999993,8,3,0.375,1.1965046091951532,100.0,2.2760336742822806,19,18,16,13,0.7222222222222222,True,
Rule Controller,2026005,fb010e6d5160d8ca,300.0,300.0,6000,416.3370119904139,2,10059,0.008553901500081382,-1.875,1,0.0,2,2,1.0,2.6987082704244254,100.0,0.3928018056616231,4,4,3,2,0.5,True,
