metric,metric_label,preferred_direction,paired_n,rule_mean,hybrid_mean,hybrid_minus_rule_mean_difference,difference_ci95_lower,difference_ci95_upper,wilcoxon_two_sided_p,paired_effect_size_dz
route_progress_m,Route progress (m),higher,3,902.7577569664869,919.1253180116595,16.36756104517258,-15.443557062067043,65.0837526147726,1.0,0.3820383913408642
collision_count,Collision count,lower,3,0.3333333333333333,0.3333333333333333,0.0,-1.0,1.0,1.0,0.0
minimum_ttc_s,Minimum TTC (s),higher,3,0.4536721601474211,0.6366405611380159,0.18296840099059486,-0.1959657546431205,0.4076402941455582,0.5,0.5543664755185012
minimum_clearance_m,Minimum clearance (m),higher,3,1.3864753657456816,1.3916316033720844,0.005156237626402567,-0.2566478303897288,0.31902989176094554,1.0,0.01769776258792492
emergency_stops,Emergency stops,lower,3,2.6666666666666665,2.3333333333333335,-0.3333333333333333,-1.0,0.0,0.31731050786291415,-0.5773502691896256
deadlock_duration_s,Deadlock duration (s),lower,3,5.383333333333322,0.2666666666666667,-5.116666666666656,-7.349999999999983,-3.399999999999993,0.25,-2.526684787565511
overtake_attempts,Overtake attempts,context,3,5.666666666666667,5.0,-0.6666666666666666,-2.0,1.0,0.5,-0.4364357804719848
successful_overtakes,Successful overtakes,higher,3,3.6666666666666665,3.3333333333333335,-0.3333333333333333,-2.0,1.0,0.6547208460185769,-0.21821789023599236
overtake_success_rate,Overtake success rate,higher,3,0.6444444444444444,0.6555555555555556,0.011111111111111146,-0.16666666666666663,0.13333333333333341,1.0,0.07053456158586005
mean_absolute_acceleration_mps2,Mean absolute acceleration (m/s²),lower,3,0.9843311565168587,1.0320519517522377,0.047720795235378866,-0.04303951132784101,0.18284010041434684,0.75,0.4000249309817076
maximum_absolute_jerk_mps3,Maximum absolute jerk (m/s³),lower,3,93.24728657003833,98.3187251453386,5.071438575300296,-4.785684274110764,20.000000000011653,0.6547208460185769,0.3857168834988442
mean_absolute_yaw_rate_deg_s,Mean absolute yaw rate (deg/s),lower,3,2.692849551016563,2.2664762738557886,-0.42637327716077406,-0.8571519484496899,-0.1546301238489467,0.25,-1.1300716458308944
scenario_completion_rate,Scenario success rate,higher,3,0.8611111111111112,0.9027777777777778,0.041666666666666664,0.0,0.125,0.31731050786291415,0.5773502691896256
