controller,seed,manifest_id,scenario_id,scenario_type,scenario_category,primary_actor_id,actor_ids,mixed,route_position_m,encountered,evaluable,encountered_at_s,resolved_at_s,time_to_resolve_s,completed,success,collision,deadlock_duration_s,overtake_attempted,overtake_successful,minimum_ttc_s,minimum_clearance_m
Rule Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00000,pedestrian,pedestrian,sim-001eea10-pedestrian-00000,sim-001eea10-pedestrian-00000,False,64.64870154589354,True,True,0.05,19.750000000000146,19.700000000000145,True,True,False,0.1,False,False,4.682389174510752,5.925000000000001
Rule Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00002,slow_car,mixed,sim-001eea10-slow-car-00002,sim-001eea10-slow-car-00002|sim-001eea10-left-traffic-00002,True,210.8115047135509,True,True,26.000000000000234,34.75000000000016,8.749999999999929,True,True,False,0.0,True,False,3.443551052421008,3.3068133364308574
Rule Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00005,stopped_car,stopped_car,sim-001eea10-stopped-car-00005,sim-001eea10-stopped-car-00005,False,474.6574919651421,True,True,43.09999999999969,67.14999999999833,24.04999999999864,True,True,False,4.199999999999993,True,True,3.806697107509087,3.118260241717093
Rule Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00006,pedestrian,pedestrian,sim-001eea10-pedestrian-00006,sim-001eea10-pedestrian-00006,False,579.0064103159616,True,True,68.64999999999824,85.64999999999728,16.999999999999034,True,True,False,0.1,False,False,3.4093420326079973,5.3047563864111
Rule Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00007,stopped_car,stopped_car,sim-001eea10-stopped-car-00007,sim-001eea10-stopped-car-00007,False,684.2839201238559,True,True,87.0499999999972,106.3999999999961,19.3499999999989,True,True,False,0.0,True,True,3.8288927125482486,3.1485108572641884
Rule Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00009,truck,truck,sim-001eea10-truck-00009,sim-001eea10-truck-00009,False,862.0995151565143,True,False,116.29999999999553,,,False,False,False,0.0,True,False,5.584102910824718,38.74283876631212
Rule Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00010,stopped_car,stopped_car,sim-001eea10-stopped-car-00010,sim-001eea10-stopped-car-00010,False,941.4449261091634,True,False,118.89999999999539,,,False,False,False,0.0,False,False,4.269213979772416,54.86707431883658
Rule Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00011,slow_car,slow_car,sim-001eea10-slow-car-00011,sim-001eea10-slow-car-00011,False,1035.8237021331213,False,False,,,,False,False,False,0.0,False,False,,
Rule Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00012,slow_car,slow_car,sim-001eea10-slow-car-00012,sim-001eea10-slow-car-00012,False,1106.9359281738627,False,False,,,,False,False,False,0.0,False,False,,
Rule Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00013,stopped_car,stopped_car,sim-001eea10-stopped-car-00013,sim-001eea10-stopped-car-00013,False,1181.9629706632602,False,False,,,,False,False,False,0.0,False,False,,
Rule Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00014,pedestrian,pedestrian,sim-001eea10-pedestrian-00014,sim-001eea10-pedestrian-00014,False,1278.416018279684,False,False,,,,False,False,False,0.0,False,False,,
Rule Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00015,stopped_car,mixed,sim-001eea10-stopped-car-00015,sim-001eea10-stopped-car-00015|sim-001eea10-left-traffic-00015,True,1359.4219307007916,False,False,,,,False,False,False,0.0,False,False,,
Rule Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00016,truck,truck,sim-001eea10-truck-00016,sim-001eea10-truck-00016,False,1467.244742600084,False,False,,,,False,False,False,0.0,False,False,,
Rule Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00017,slow_car,mixed,sim-001eea10-slow-car-00017,sim-001eea10-slow-car-00017|sim-001eea10-left-traffic-00017,True,1547.9762025572702,False,False,,,,False,False,False,0.0,False,False,,
Rule Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00018,pedestrian,pedestrian,sim-001eea10-pedestrian-00018,sim-001eea10-pedestrian-00018,False,1633.9398831534784,False,False,,,,False,False,False,0.0,False,False,,
Rule Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00019,pedestrian,pedestrian,sim-001eea10-pedestrian-00019,sim-001eea10-pedestrian-00019,False,1714.26856713621,False,False,,,,False,False,False,0.0,False,False,,
Rule Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00020,slow_car,slow_car,sim-001eea10-slow-car-00020,sim-001eea10-slow-car-00020,False,1802.2844993842634,False,False,,,,False,False,False,0.0,False,False,,
Rule Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00021,stopped_car,mixed,sim-001eea10-stopped-car-00021,sim-001eea10-stopped-car-00021|sim-001eea10-left-traffic-00021,True,1898.6133541234838,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00000,pedestrian,pedestrian,sim-001eea10-pedestrian-00000,sim-001eea10-pedestrian-00000,False,64.64870154589354,True,True,0.05,19.500000000000142,19.45000000000014,True,True,False,0.1,False,False,2.529082474063543,3.6137015458937327
Hybrid ML Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00002,slow_car,mixed,sim-001eea10-slow-car-00002,sim-001eea10-slow-car-00002|sim-001eea10-left-traffic-00002,True,210.8115047135509,True,True,25.850000000000232,34.80000000000016,8.949999999999928,True,True,False,0.0,True,False,3.410605851503151,3.2952902069683025
Hybrid ML Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00005,stopped_car,stopped_car,sim-001eea10-stopped-car-00005,sim-001eea10-stopped-car-00005,False,474.6574919651421,True,True,44.34999999999962,65.29999999999843,20.949999999998816,True,True,False,0.8000000000000002,True,True,1.8852212278362657,1.4558649183553976
Hybrid ML Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00006,pedestrian,pedestrian,sim-001eea10-pedestrian-00006,sim-001eea10-pedestrian-00006,False,579.0064103159616,True,True,67.39999999999831,86.39999999999723,18.99999999999892,True,True,False,0.1,False,False,4.260082015943187,5.925000000000001
Hybrid ML Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00007,stopped_car,stopped_car,sim-001eea10-stopped-car-00007,sim-001eea10-stopped-car-00007,False,684.2839201238559,True,True,87.79999999999715,104.44999999999621,16.649999999999054,True,True,False,0.0,True,True,1.9412823011653846,1.632177805597031
Hybrid ML Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00009,truck,truck,sim-001eea10-truck-00009,sim-001eea10-truck-00009,False,862.0995151565143,True,False,118.5999999999954,,,False,False,False,0.0,False,False,7.896464214603403,57.39495156560504
Hybrid ML Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00010,stopped_car,stopped_car,sim-001eea10-stopped-car-00010,sim-001eea10-stopped-car-00010,False,941.4449261091634,True,False,119.99999999999532,,,False,False,False,0.0,False,False,5.380261250424721,70.31063138090363
Hybrid ML Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00011,slow_car,slow_car,sim-001eea10-slow-car-00011,sim-001eea10-slow-car-00011,False,1035.8237021331213,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00012,slow_car,slow_car,sim-001eea10-slow-car-00012,sim-001eea10-slow-car-00012,False,1106.9359281738627,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00013,stopped_car,stopped_car,sim-001eea10-stopped-car-00013,sim-001eea10-stopped-car-00013,False,1181.9629706632602,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00014,pedestrian,pedestrian,sim-001eea10-pedestrian-00014,sim-001eea10-pedestrian-00014,False,1278.416018279684,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00015,stopped_car,mixed,sim-001eea10-stopped-car-00015,sim-001eea10-stopped-car-00015|sim-001eea10-left-traffic-00015,True,1359.4219307007916,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00016,truck,truck,sim-001eea10-truck-00016,sim-001eea10-truck-00016,False,1467.244742600084,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00017,slow_car,mixed,sim-001eea10-slow-car-00017,sim-001eea10-slow-car-00017|sim-001eea10-left-traffic-00017,True,1547.9762025572702,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00018,pedestrian,pedestrian,sim-001eea10-pedestrian-00018,sim-001eea10-pedestrian-00018,False,1633.9398831534784,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00019,pedestrian,pedestrian,sim-001eea10-pedestrian-00019,sim-001eea10-pedestrian-00019,False,1714.26856713621,False,False,,,,False,False,False,0.0,False,False,,
Hybrid ML Controller,2026000,a50f0089e1fd1526,seed-2026000-scenario-00020,slow_car,slow_car,sim-001eea10-slow-car-00020,sim-001eea10-slow-car-00020,False,1802.2844993842634,False,False,,,,False,False,False,0.0,False,False,,
