task,source,class,class_display,count,source_test_rows,percentage_within_source
risk,nuscenes,LOW,Low,1891,3161,0.5982284087314141
risk,nuscenes,MODERATE,Moderate,586,3161,0.1853843720341664
risk,nuscenes,HIGH,High,399,3161,0.1262258778867447
risk,nuscenes,EXTREME,Extreme,285,3161,0.09016134134767478
risk,krisk,LOW,Low,3504,4801,0.7298479483440949
risk,krisk,MODERATE,Moderate,525,4801,0.1093522182878567
risk,krisk,HIGH,High,642,4801,0.13372214122057904
risk,krisk,EXTREME,Extreme,130,4801,0.027077692147469277
policy,nuscenes,KEEP,Keep,2520,3159,0.7977207977207977
policy,nuscenes,ACCELERATE,Accelerate,303,3159,0.09591642924976258
policy,nuscenes,DECELERATE,Decelerate,300,3159,0.0949667616334283
policy,nuscenes,CHANGE_LEFT,Change left,14,3159,0.004431782209559987
policy,nuscenes,CHANGE_RIGHT,Change right,22,3159,0.006964229186451409
policy,krisk,KEEP,Keep,3498,4803,0.7282948157401624
policy,krisk,ACCELERATE,Accelerate,600,4803,0.12492192379762648
policy,krisk,DECELERATE,Decelerate,387,4803,0.08057464084946908
policy,krisk,CHANGE_LEFT,Change left,158,4803,0.03289610660004164
policy,krisk,CHANGE_RIGHT,Change right,160,4803,0.0333125130127004
