task,actual_class,predicted_class,count,actual_class_total,row_percentage
risk,LOW,LOW,4884,5395,0.9052826691380909
risk,LOW,MODERATE,351,5395,0.06506024096385542
risk,LOW,HIGH,156,5395,0.02891566265060241
risk,LOW,EXTREME,4,5395,0.0007414272474513438
risk,MODERATE,LOW,187,1111,0.16831683168316833
risk,MODERATE,MODERATE,780,1111,0.7020702070207021
risk,MODERATE,HIGH,143,1111,0.12871287128712872
risk,MODERATE,EXTREME,1,1111,0.0009000900090009
risk,HIGH,LOW,89,1041,0.08549471661863593
risk,HIGH,MODERATE,155,1041,0.148895292987512
risk,HIGH,HIGH,754,1041,0.7243035542747358
risk,HIGH,EXTREME,43,1041,0.04130643611911623
risk,EXTREME,LOW,33,415,0.07951807228915662
risk,EXTREME,MODERATE,43,415,0.10361445783132531
risk,EXTREME,HIGH,51,415,0.12289156626506025
risk,EXTREME,EXTREME,288,415,0.6939759036144578
policy,KEEP,KEEP,4993,6018,0.8296776337653705
policy,KEEP,ACCELERATE,351,6018,0.058325024925224324
policy,KEEP,DECELERATE,345,6018,0.05732801595214357
policy,KEEP,CHANGE_LEFT,165,6018,0.027417746759720838
policy,KEEP,CHANGE_RIGHT,164,6018,0.02725157859754071
policy,ACCELERATE,KEEP,127,903,0.1406423034330011
policy,ACCELERATE,ACCELERATE,698,903,0.7729789590254706
policy,ACCELERATE,DECELERATE,19,903,0.021040974529346623
policy,ACCELERATE,CHANGE_LEFT,31,903,0.03433001107419712
policy,ACCELERATE,CHANGE_RIGHT,28,903,0.031007751937984496
policy,DECELERATE,KEEP,113,687,0.16448326055312956
policy,DECELERATE,ACCELERATE,17,687,0.024745269286754003
policy,DECELERATE,DECELERATE,508,687,0.7394468704512372
policy,DECELERATE,CHANGE_LEFT,20,687,0.02911208151382824
policy,DECELERATE,CHANGE_RIGHT,29,687,0.042212518195050945
policy,CHANGE_LEFT,KEEP,53,172,0.3081395348837209
policy,CHANGE_LEFT,ACCELERATE,30,172,0.1744186046511628
policy,CHANGE_LEFT,DECELERATE,25,172,0.14534883720930233
policy,CHANGE_LEFT,CHANGE_LEFT,61,172,0.3546511627906977
policy,CHANGE_LEFT,CHANGE_RIGHT,3,172,0.01744186046511628
policy,CHANGE_RIGHT,KEEP,41,182,0.22527472527472528
policy,CHANGE_RIGHT,ACCELERATE,35,182,0.19230769230769232
policy,CHANGE_RIGHT,DECELERATE,16,182,0.08791208791208792
policy,CHANGE_RIGHT,CHANGE_LEFT,8,182,0.04395604395604396
policy,CHANGE_RIGHT,CHANGE_RIGHT,82,182,0.45054945054945056
