method,sensor,sensor_display,test_rows,mae
Confidence only,CAMERA,Camera,1698,0.11525562124613144
Confidence only,LIDAR,LiDAR,1698,0.15110078437105826
Confidence only,RADAR,Radar,1698,0.11540311939544706
Direct formula,CAMERA,Camera,1698,0.050415961793160075
Direct formula,LIDAR,LiDAR,1698,0.04321603834526095
Direct formula,RADAR,Radar,1698,0.042746047868027194
Thresholds,CAMERA,Camera,1698,0.1893509886014375
Thresholds,LIDAR,LiDAR,1698,0.20767812060643684
Thresholds,RADAR,Radar,1698,0.16507423319933454
ML model,CAMERA,Camera,1698,0.013690182755688174
ML model,LIDAR,LiDAR,1698,0.01713175944837958
ML model,RADAR,Radar,1698,0.016789361020414874
